price,bedrooms,bathrooms,floors
313000.0,3.0,1.5,1.5
2384000.0,5.0,2.5,2.0
342000.0,3.0,2.0,1.0
420000.0,3.0,2.25,1.0
550000.0,4.0,2.5,1.0
490000.0,2.0,1.0,1.0
335000.0,2.0,2.0,1.0
482000.0,4.0,2.5,2.0
452500.0,3.0,2.5,1.0
640000.0,4.0,2.0,1.5
463000.0,3.0,1.75,1.0
1400000.0,4.0,2.5,1.5
588500.0,3.0,1.75,1.0
365000.0,3.0,1.0,1.0
1200000.0,5.0,2.75,1.5
242500.0,3.0,1.5,1.0
419000.0,3.0,1.5,1.0
367500.0,4.0,3.0,2.0
257950.0,3.0,1.75,1.0
275000.0,3.0,1.5,1.0
750000.0,3.0,1.75,2.0
435000.0,4.0,1.0,1.0
626000.0,3.0,2.25,2.5
612500.0,4.0,2.5,2.0
495000.0,4.0,1.75,1.0
285000.0,3.0,2.5,1.0
615000.0,3.0,1.75,1.0
698000.0,4.0,2.25,1.5
675000.0,5.0,2.5,2.0
790000.0,3.0,2.5,1.0
382500.0,4.0,1.75,1.0
499950.0,4.0,2.5,2.0
650000.0,4.0,2.0,1.5
625000.0,4.0,2.5,2.0
400000.0,4.0,2.5,1.5
604000.0,3.0,2.5,2.0
440000.0,2.0,1.0,1.0
287200.0,3.0,3.0,1.0
403000.0,3.0,2.0,1.0
750000.0,3.0,2.5,1.0
335000.0,3.0,2.25,1.0
260000.0,4.0,2.0,1.0
308500.0,2.0,1.0,1.0
439950.0,3.0,2.5,2.0
235000.0,2.0,1.0,1.0
315000.0,3.0,1.0,1.0
437500.0,3.0,2.25,2.0
407500.0,3.0,2.5,2.0
445700.0,3.0,2.5,3.0
838000.0,4.0,2.5,2.0
630000.0,4.0,2.75,2.0
550000.0,3.0,1.75,1.5
805000.0,3.0,2.0,1.5
284000.0,3.0,1.75,1.0
470000.0,5.0,2.5,1.0
430000.0,4.0,1.5,1.0
491500.0,4.0,1.75,1.0
785000.0,5.0,3.25,2.0
385000.0,3.0,3.25,2.0
295000.0,2.0,2.5,2.0
555000.0,4.0,2.5,2.0
459990.0,3.0,2.5,2.0
625000.0,4.0,3.25,1.0
300000.0,3.0,2.5,2.0
625000.0,4.0,2.75,2.0
553000.0,2.0,1.0,1.0
379880.0,3.0,2.5,1.0
310000.0,3.0,1.0,1.0
775000.0,2.0,2.5,1.0
365000.0,3.0,2.5,1.0
331950.0,4.0,2.5,2.0
783500.0,3.0,2.5,2.0
628000.0,4.0,2.0,1.0
560000.0,3.0,2.5,2.0
900000.0,3.0,1.0,1.0
531000.0,2.0,3.0,2.0
831000.0,4.0,3.0,2.0
780000.0,4.0,2.5,2.0
755000.0,4.0,2.5,1.0
705380.0,3.0,2.5,2.0
627000.0,4.0,2.25,1.0
865000.0,4.0,3.0,2.0
580000.0,2.0,1.0,1.0
410000.0,3.0,2.25,1.0
485000.0,4.0,3.0,1.0
400000.0,2.0,1.75,1.0
549000.0,2.0,1.0,1.0
620000.0,3.0,1.75,2.5
405000.0,2.0,3.0,2.0
232000.0,2.0,1.0,1.0
800866.0,5.0,2.5,2.0
650000.0,3.0,1.5,1.0
823000.0,6.0,1.75,2.5
770000.0,3.0,2.0,1.5
524000.0,3.0,1.75,1.0
541125.0,5.0,2.75,1.0
670000.0,3.0,2.5,3.0
384900.0,5.0,2.5,1.0
406100.0,3.0,2.25,3.0
1395000.0,5.0,3.5,2.0
736500.0,4.0,2.5,2.0
570000.0,3.0,2.25,1.0
787000.0,3.0,1.75,1.0
328000.0,4.0,2.5,2.0
435000.0,5.0,2.0,1.0
499000.0,4.0,2.5,2.0
501000.0,4.0,1.0,1.0
1090000.0,4.0,2.5,2.5
400000.0,2.0,1.0,1.0
220000.0,4.0,1.5,1.0
657100.0,4.0,1.0,1.0
309950.0,4.0,2.75,2.0
300000.0,3.0,2.0,1.0
525888.0,5.0,1.75,1.0
740000.0,4.0,1.75,1.5
340000.0,5.0,1.0,1.5
398750.0,3.0,2.5,2.0
206000.0,2.0,1.0,1.0
1030000.0,5.0,2.75,1.0
600000.0,3.0,1.75,1.0
379950.0,4.0,1.75,1.0
287000.0,3.0,1.0,1.0
2280000.0,7.0,8.0,3.0
309950.0,3.0,2.5,2.0
600000.0,3.0,1.75,1.0
418000.0,3.0,2.0,1.5
449250.0,4.0,2.0,1.5
329950.0,2.0,1.0,1.5
245000.0,3.0,1.75,1.0
549000.0,4.0,2.5,2.0
800000.0,3.0,2.5,2.0
249950.0,3.0,2.0,1.0
210000.0,5.0,2.0,1.0
1425000.0,2.0,2.5,2.0
585000.0,2.0,1.0,1.5
615000.0,4.0,1.75,1.0
618500.0,3.0,2.0,1.0
487585.0,4.0,1.75,1.0
509900.0,3.0,2.5,2.0
631625.0,4.0,2.5,2.0
555000.0,3.0,2.5,2.0
340000.0,2.0,1.5,2.0
830000.0,4.0,2.5,2.0
890000.0,4.0,4.25,2.0
366750.0,3.0,3.0,3.0
415000.0,3.0,2.25,2.5
416286.0,3.0,2.5,3.0
478000.0,3.0,2.5,2.0
890000.0,5.0,3.5,2.0
419190.0,2.0,2.5,2.0
712198.0,4.0,2.5,2.0
397000.0,4.0,2.0,1.0
450000.0,2.0,2.0,1.5
353000.0,3.0,1.0,1.0
609000.0,4.0,2.5,2.0
234000.0,3.0,1.75,1.0
561000.0,3.0,2.0,2.0
469000.0,2.0,1.0,1.0
329350.0,2.0,1.0,1.0
488000.0,5.0,2.0,1.5
279900.0,3.0,1.75,1.0
606000.0,4.0,2.5,2.0
312000.0,4.0,2.0,1.0
650000.0,3.0,1.5,1.0
1135000.0,4.0,2.75,1.0
325000.0,4.0,2.5,1.0
425000.0,4.0,2.0,1.0
219000.0,2.0,1.0,1.0
250000.0,3.0,1.0,1.0
390000.0,3.0,1.75,1.0
475000.0,6.0,3.0,1.5
736000.0,4.0,2.5,2.0
