sqft_living,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
1340,7912,0,0,3,1340,0,1955,2005
3650,9050,0,4,5,3370,280,1921,0
1930,11947,0,0,4,1930,0,1966,0
2000,8030,0,0,4,1000,1000,1963,0
1940,10500,0,0,4,1140,800,1976,1992
880,6380,0,0,3,880,0,1938,1994
1350,2560,0,0,3,1350,0,1976,0
2710,35868,0,0,3,2710,0,1989,0
2430,88426,0,0,4,1570,860,1985,0
1520,6200,0,0,3,1520,0,1945,2010
1710,7320,0,0,3,1710,0,1948,1994
2920,4000,0,0,5,1910,1010,1909,1988
2330,14892,0,0,3,1970,360,1980,0
1090,6435,0,0,4,1090,0,1955,2009
2910,9480,0,0,3,2910,0,1939,1969
1200,9720,0,0,4,1200,0,1965,0
1570,6700,0,0,4,1570,0,1956,0
3110,7231,0,0,3,3110,0,1997,0
1370,5858,0,0,3,1370,0,1987,2000
1180,10277,0,0,3,1180,0,1983,2009
2240,10578,0,0,5,1550,690,1923,0
1450,8800,0,0,4,1450,0,1954,1979
1750,1572,0,0,3,1470,280,2005,0
2730,12261,0,0,3,2730,0,1991,0
1600,6380,0,0,3,1130,470,1959,1989
2090,10834,0,0,4,1360,730,1987,0
2360,7291,0,0,4,1360,1000,1948,0
2200,11250,0,0,5,1300,900,1920,0
2820,67518,0,0,3,2820,0,1979,2014
2600,4750,0,0,4,1700,900,1951,1999
1560,8700,0,0,4,1560,0,1967,0
2860,3345,0,0,3,2190,670,2004,2003
1820,5000,0,1,3,1640,180,1945,2010
2820,8408,0,0,3,2820,0,2014,0
3630,42884,0,0,3,2300,1330,1979,2014
3240,33151,0,2,3,3240,0,1995,0
800,4850,0,0,4,800,0,1944,0
1850,19966,0,0,4,1090,760,1992,0
1960,13100,0,2,5,1650,310,1957,0
2390,6550,0,2,4,1440,950,1955,2009
1580,16215,0,0,4,1580,0,1978,2000
1480,8625,0,0,4,1480,0,1974,0
850,6174,0,0,4,850,0,1950,1983
1770,2875,0,0,3,1770,0,1990,2009
1210,9400,0,0,2,1210,0,1949,0
1160,9180,0,0,3,1160,0,1968,1997
1970,35100,0,0,4,1970,0,1977,0
1930,10460,0,0,3,1930,0,1996,0
1270,1180,0,0,3,1270,0,2001,0
3310,42998,0,0,3,3310,0,2001,0
2710,37277,0,0,3,2710,0,2000,0
2910,35200,0,0,3,2910,0,1979,2014
2710,4500,0,0,4,1880,830,1929,0
1800,23103,0,0,3,1800,0,1968,1997
2210,9655,0,0,3,1460,750,1976,0
1920,10000,0,0,4,1070,850,1954,1979
2190,125452,0,2,3,2190,0,1968,1997
3660,11995,0,2,3,3660,0,2006,0
1320,1327,0,0,3,1040,280,2008,0
1630,1368,0,0,3,1280,350,2009,0
3310,6500,0,0,3,3310,0,2012,1912
2680,5539,0,0,3,2680,0,2013,1923
2730,54014,0,0,3,1560,1170,2007,0
2540,5050,0,0,3,2540,0,2006,0
2920,6605,0,0,3,2920,0,2012,1912
900,5000,0,0,3,900,0,1944,0
1650,14054,0,0,4,1130,520,1986,0
1010,9945,0,0,4,1010,0,1973,0
2680,7392,0,0,3,2680,0,2004,2003
2200,7350,0,0,5,1570,630,1988,0
2530,9933,0,2,3,2010,520,1990,2009
2850,7130,0,0,3,1990,860,1980,0
2280,6010,0,0,3,1140,1140,1900,2005
1900,8744,0,0,3,1900,0,1987,2000
1330,77972,0,0,3,1330,0,1928,1954
1270,1175,0,0,3,1110,160,2000,0
2170,4000,0,0,4,1610,560,1982,2011
2730,10281,0,2,3,2730,0,1996,0
2120,10202,0,0,4,1620,500,1960,2001
2490,4343,0,0,3,2490,0,2003,0
1990,7712,0,0,3,1210,780,1973,2013
3690,9892,0,0,3,3690,0,1998,2006
2540,7000,0,0,5,1320,1220,1942,0
1800,36704,0,0,4,1360,440,1978,2000
2340,7048,0,0,4,1340,1000,1979,0
2110,9519,0,0,2,2110,0,1948,0
1140,5400,0,0,5,1140,0,1908,0
1480,2185,0,0,3,1480,0,2005,0
1410,1240,0,0,3,1140,270,2006,0
1200,8063,0,0,4,1200,0,1958,1972
3180,13806,0,0,4,3180,0,1990,0
2160,9000,0,2,4,1400,760,1949,1985
2920,5000,0,0,4,2780,140,1908,0
2350,5700,0,0,4,1810,540,1939,1989
1560,5520,0,0,4,780,780,1944,0
2740,8426,0,0,4,1370,1370,1960,2001
1680,2000,0,0,3,1680,0,1909,1998
3090,12750,0,0,3,1750,1340,1968,1997
1410,1332,0,0,3,1410,0,2005,0
4010,8510,0,1,5,2850,1160,1971,0
3180,21904,0,3,3,3180,0,2000,0
2010,6000,0,0,3,1330,680,1975,0
1330,7500,0,0,3,1330,0,1961,2004
2370,6500,0,0,3,2370,0,1998,2006
1840,9240,0,0,4,1540,300,1942,1958
2910,6479,0,0,3,2910,0,2006,0
2070,7519,0,0,3,1160,910,1963,2008
4340,141570,0,0,3,4340,0,1992,0
840,5510,0,0,3,840,0,1955,2005
1240,9600,0,0,3,1240,0,1971,0
1390,4240,0,0,3,1050,340,1924,2011
2310,5000,0,0,3,2310,0,2006,0
1050,10072,0,0,3,1050,0,1986,0
2550,71874,0,0,5,1810,740,1960,0
2010,3600,0,0,3,2010,0,1902,0
1120,9022,0,0,4,1120,0,1962,0
2230,4000,0,0,3,2230,0,1954,2005
810,7158,0,0,5,810,0,1944,0
3190,16920,0,3,3,1690,1500,1976,0
1670,39639,0,0,4,1670,0,1976,1992
1970,9389,0,0,5,1140,830,1960,0
1450,6000,0,0,4,1450,0,1953,1983
13540,307752,0,4,3,9410,4130,1999,0
1880,7838,0,0,3,1880,0,1994,0
1880,6360,0,0,4,1040,840,1945,0
1410,6030,0,0,4,1410,0,1930,0
1480,3844,0,0,5,1480,0,1928,1970
1140,5250,0,0,4,1140,0,1949,1985
1920,9306,0,0,3,1000,920,1984,0
2910,6338,0,0,3,2910,0,2008,0
3240,7857,0,0,3,3240,0,1994,0
1550,15040,0,0,4,1550,0,1958,1972
2050,10200,0,0,3,1430,620,1956,2001
2220,4000,0,0,3,2220,0,2000,0
1770,8640,0,0,3,1520,250,1949,1998
2300,11700,0,0,4,1960,340,1977,0
1800,5000,0,0,4,1080,720,1942,1982
2010,9211,0,0,3,1470,540,1977,2004
1790,2700,0,0,3,1790,0,2010,0
2440,6651,0,0,3,2440,0,2014,0
1940,3211,0,0,3,1940,0,2009,0
1160,1438,0,0,3,1160,0,2001,0
3400,9692,0,0,3,3400,0,2007,0
4420,5750,0,0,3,3410,1010,2006,0
1571,2017,0,0,3,1571,0,2008,0
1620,998,0,0,3,1540,80,2010,0
1408,989,0,0,3,1408,0,2005,0
3040,4535,0,0,3,3040,0,2007,0
4490,6000,0,0,3,3200,1290,2006,0
1590,1426,0,0,3,1590,0,2014,0
2450,4247,0,0,3,2450,0,2013,1923
1440,7680,0,0,3,1200,240,1971,0
1100,3000,0,0,3,1100,0,1912,2005
1350,7740,0,0,4,860,490,1947,1988
2150,37981,0,0,3,2150,0,1985,0
1490,8366,0,0,4,1010,480,1975,0
2000,7000,0,0,3,2000,0,1916,1986
1030,4400,0,0,3,1030,0,1924,2011
720,6687,0,0,3,720,0,1942,1999
2020,5000,0,0,4,2020,0,1938,0
1580,8151,0,1,4,1100,480,1962,0
2110,13850,0,0,3,2110,0,1987,2000
1300,7054,0,0,3,1300,0,1950,2013
1630,7475,0,1,3,1160,470,1940,1996
3370,8103,0,3,3,1970,1400,1970,2014
1890,6156,0,0,3,980,910,1980,0
1520,7983,0,0,5,1520,0,1967,0
900,5160,0,0,3,900,0,1952,2008
1050,6874,0,0,3,1050,0,1954,2005
1260,6500,0,0,4,1260,0,1966,0
3470,117612,0,0,3,3470,0,1924,2011
2290,12047,0,0,4,2290,0,1988,0
2810,23400,0,1,3,1710,1100,1958,2004
1650,13816,0,0,3,1650,0,1998,2006
1640,14374,0,0,4,1140,500,1963,0
1850,10109,0,0,3,1850,0,1991,0
2000,5390,0,0,3,2000,0,2003,0
1410,9647,0,0,3,1410,0,1961,2004
1500,11600,0,0,4,1000,500,1955,2009
2460,54885,0,0,4,2460,0,1980,0
1010,7034,0,0,3,1010,0,1954,2005
1230,929,0,0,3,1020,210,2004,2003
2331,3826,0,0,3,2331,0,2007,0
2240,7770,0,0,3,1340,900,1978,0
2450,10117,0,0,5,1580,870,1967,0
3100,15480,0,0,3,2400,700,1996,0
2060,5000,0,0,3,1030,1030,1949,2013
1850,7684,0,0,3,1320,530,1979,2014
1840,10720,0,0,3,960,880,1958,2004
3740,32417,0,0,3,3740,0,2000,0
1420,8580,0,0,3,1420,0,1962,2003
1510,6083,0,0,4,860,650,1940,2001
2130,6500,0,2,3,1170,960,1954,2005
3490,6906,0,0,4,2280,1210,1928,0
1630,11800,0,0,4,1630,0,1971,0
1790,7167,0,0,3,1790,0,1989,0
2000,5684,0,0,3,2000,0,1996,0
2260,29930,0,0,4,1400,860,1977,0
3030,7864,0,0,3,3030,0,1999,0
1310,8160,0,0,3,1310,0,1950,2005
3880,14550,0,0,3,3880,0,1987,2000
3760,10920,0,0,5,2400,1360,1950,0
3040,8111,0,0,3,3040,0,1984,0
2910,9636,0,0,4,1690,1220,1964,0
2970,11985,0,0,3,1770,1200,1995,0
1660,6000,0,0,3,1160,500,1942,1999
3200,12369,0,0,3,3200,0,1998,2006
2680,18768,0,0,5,2680,0,1965,0
1230,9568,0,0,5,1230,0,1962,0
2740,45732,0,0,3,2740,0,1995,0
3380,8330,0,0,3,3380,0,2000,0
1110,6250,0,0,3,1110,0,1956,2001
1800,3780,0,0,3,1400,400,1926,2003
1900,5520,0,0,3,1280,620,1982,0
930,36478,0,2,3,930,0,1951,1994
1690,7735,0,0,4,1060,630,1976,1992
1420,4080,0,0,3,1420,0,1905,2013
4510,15175,0,0,3,4510,0,1969,2002
1980,8000,0,0,4,1560,420,1974,0
1170,2400,0,0,4,740,430,1903,0
2200,1970,0,0,3,1610,590,2008,0
800,8850,0,0,4,800,0,1959,0
1480,1171,0,0,3,1480,0,2006,0
2890,5000,0,0,3,1310,1580,2006,0
2690,4047,0,0,3,2690,0,2014,0
3569,8327,0,0,3,3569,0,2013,1923
1270,1320,0,0,3,1270,0,2006,0
4490,10279,0,0,3,3930,560,2013,1923
3040,6425,0,0,3,3040,0,2008,0
1170,1249,0,0,3,1170,0,2014,0
2060,8632,0,0,3,1030,1030,1962,2003
990,6000,0,0,3,990,0,1943,2002
2430,5203,0,0,3,2430,0,2003,0
4460,103382,0,0,3,4460,0,2001,0
1250,10122,0,0,3,1250,0,1994,0
1540,6760,0,0,5,1210,330,1980,0
1600,7000,0,0,4,1600,0,1993,0
1110,8423,0,0,3,1110,0,1952,2008
1840,10723,0,0,4,1220,620,1974,0
2520,5401,0,0,4,1360,1160,1946,1989
2680,327135,0,0,3,2680,0,1995,0
3830,6988,0,0,3,2450,1380,1938,2003
2410,9549,0,0,4,1780,630,1956,0
1720,10018,0,0,5,1720,0,1960,0
2070,37904,0,0,4,1420,650,1973,0
1760,9055,0,0,4,1760,0,1985,0
1680,10500,0,0,4,1680,0,1959,0
1550,2400,0,0,4,1550,0,1900,1971
4120,60392,0,2,3,3180,940,1994,0
1830,9548,0,0,3,1830,0,1991,0
1400,7410,0,0,3,1400,0,1944,0
1870,12381,0,0,4,1870,0,1957,2001
6210,8856,0,2,5,4760,1450,1910,0
1040,3500,0,0,4,1040,0,1904,0
2720,149410,0,0,3,2720,0,1988,2000
1010,9360,0,0,3,1010,0,1981,2013
1580,9147,0,1,4,1210,370,1967,0
2600,6050,0,0,5,1960,640,1949,0
1920,9180,0,0,3,1920,0,1988,2000
2350,5080,0,0,3,1780,570,1929,0
1100,4373,0,0,2,820,280,1947,0
2510,13695,0,0,4,1280,1230,1961,2001
3240,108366,0,0,4,3240,0,1991,0
2460,108900,0,0,4,1860,600,1977,0
1010,3885,0,0,4,1010,0,1906,1990
820,2723,0,0,3,820,0,1921,2000
2420,8560,0,2,3,1620,800,1978,0
1770,8165,0,0,3,1770,0,1977,2004
1350,3900,0,0,3,1350,0,2003,0
1960,4788,0,0,4,1090,870,1920,0
3305,16164,0,0,5,2245,1060,1922,1956
2550,5663,0,0,3,1720,830,2011,0
4130,226076,0,0,3,3170,960,1985,0
2310,13300,0,0,3,1890,420,1950,2005
1650,5000,0,0,3,1650,0,1955,2005
2650,4316,0,0,3,1520,1130,1905,2013
1890,5940,0,1,3,1470,420,1963,2008
2190,8000,0,0,4,2190,0,1967,0
2030,6500,0,0,3,2030,0,1988,2000
2270,5175,0,0,3,2130,140,2002,0
1610,4160,0,0,4,1010,600,1917,0
760,3001,0,0,3,760,0,1913,1983
1640,17335,0,0,3,840,800,1978,0
1630,12295,0,0,4,1630,0,1985,0
3560,6480,0,0,4,3560,0,1914,1945
2960,5500,0,2,3,2440,520,1937,1990
1940,37565,0,0,4,1940,0,1987,0
1410,7566,0,0,3,1410,0,1985,0
1040,16986,0,0,4,1040,0,1968,0
820,6400,0,0,4,820,0,1944,0
910,22000,0,0,3,910,0,1956,2001
3700,7647,0,1,3,3700,0,1948,1984
2180,11200,0,0,4,2180,0,1968,0
1600,4271,0,0,3,1600,0,2000,0
1500,6180,0,0,4,1060,440,1947,1988
1340,4284,0,0,3,1080,260,1910,2006
1860,13374,0,0,3,1860,0,1985,0
2540,7200,0,3,4,1600,940,1905,0
1040,13100,0,0,5,1040,0,1912,0
1380,11130,0,0,3,1380,0,1960,2012
1640,10762,0,0,3,1130,510,1988,2000
3000,6000,0,0,5,1500,1500,1958,0
2140,13000,0,0,3,1320,820,1968,1997
1760,6428,0,0,4,980,780,1942,1982
1660,8307,0,0,4,1660,0,1961,2001
1830,13042,0,0,3,1830,0,1990,2009
2210,8556,0,1,4,1210,1000,1954,1979
1490,6600,0,0,3,1490,0,1969,2010
1260,1270,0,0,3,1040,220,2005,0
4270,8076,0,0,3,3400,870,2007,0
3900,8391,0,0,3,3900,0,2006,0
1150,1027,0,0,3,1150,0,2008,0
2656,21195,0,0,3,2656,0,2014,0
2410,5003,0,0,3,1410,1000,2008,0
1606,1452,0,0,3,1606,0,2009,0
820,681,0,0,3,820,0,2006,0
1540,6872,0,0,4,820,720,1946,1989
2090,8354,0,0,3,2090,0,2012,1912
3160,11470,0,0,4,1780,1380,1971,0
1730,8320,0,0,3,1230,500,1977,2004
1670,4080,0,0,3,1170,500,1967,2011
2550,4630,0,0,3,2550,0,2005,0
3040,9601,0,0,5,1970,1070,1968,0
1250,4620,0,0,4,1150,100,1900,1971
2020,6236,0,0,3,2020,0,2002,0
2660,5500,0,2,3,2660,0,2003,0
980,5000,0,0,3,980,0,1922,2003
1960,8000,0,0,4,1290,670,1977,0
720,5040,0,0,3,720,0,1955,2005
1360,1349,0,0,3,1050,310,1997,0
1870,4950,0,0,3,1870,0,2006,0
2130,8800,0,0,3,1100,1030,1962,2003
1810,6509,0,0,3,1810,0,1994,0
2200,89298,0,0,3,1100,1100,1973,2013
1690,4500,0,1,4,1690,0,1928,0
1940,8547,0,0,3,1460,480,1989,0
2320,6270,0,0,3,2320,0,2004,2003
2060,26036,0,0,4,1160,900,1947,1988
3410,5000,0,0,5,2190,1220,1910,0
2250,41688,0,0,3,2250,0,1980,0
1390,7399,0,0,4,1390,0,1975,0
1060,4960,0,0,3,1060,0,1926,2003
1490,8995,0,0,4,1490,0,1954,1979
2480,9195,0,0,3,1390,1090,1950,2005
2440,20828,0,0,4,2440,0,1975,0
2240,87625,0,0,2,1480,760,1980,0
1920,7229,0,0,3,1920,0,1993,0
1890,9920,0,0,3,1230,660,1944,0
2250,13515,0,0,4,2150,100,1940,2001
1270,3008,0,0,4,650,620,1923,0
960,1808,0,0,3,960,0,1993,0
3290,6465,0,0,3,3290,0,2002,0
2000,6120,0,0,3,1100,900,1965,1993
1020,8155,0,0,4,1020,0,1948,0
1840,9600,0,0,3,1220,620,1967,2011
1980,6760,0,0,4,1980,0,1973,0
3510,5760,0,0,4,3510,0,1906,1990
1230,3600,0,0,5,1230,0,1925,0
2280,65836,0,0,3,2280,0,2004,2003
2430,12757,0,2,4,1340,1090,1952,0
2920,3942,0,0,3,2920,0,2008,0
2280,2850,0,0,4,1540,740,1930,0
1510,43560,0,0,3,1510,0,1954,2005
950,6000,0,0,3,790,160,1939,1969
1190,3000,0,0,3,1190,0,2002,0
1310,9282,0,0,4,1310,0,1976,1992
2800,3200,0,0,5,1910,890,1932,2002
1750,3354,0,0,4,1750,0,1991,0
1320,5750,0,0,5,1320,0,1918,0
2460,7350,0,0,3,2460,0,1989,0
1240,10800,0,0,3,1240,0,1967,2010
1260,7964,0,0,4,1260,0,1955,2009
2820,15600,0,2,5,1970,850,1940,0
3820,24166,0,1,4,3310,510,1990,0
1540,1614,0,0,3,1470,70,2008,0
1550,435600,0,0,2,1550,0,1972,0
1460,7700,0,0,3,1460,0,1979,2014
1390,16000,0,0,4,1390,0,1960,2001
2640,4080,0,0,3,1840,800,1912,2000
1590,9620,0,0,3,1590,0,1988,2000
1910,6960,0,0,5,1910,0,1941,0
2015,16807,1,4,3,2015,0,2007,0
1410,1197,0,0,3,1410,0,2012,1912
1110,957,0,0,3,930,180,2005,0
860,1277,0,0,3,860,0,2007,0
2310,4729,0,0,3,2310,0,2011,0
1020,1060,0,0,3,1020,0,2008,0
980,1179,0,0,3,980,0,2010,0
4230,37769,0,0,3,4230,0,1989,0
1640,11050,0,0,4,1640,0,1972,0
3810,13592,0,1,3,2560,1250,2013,1923
2790,10819,0,0,3,2790,0,1996,0
1750,5500,0,0,5,1050,700,1926,0
1430,8355,0,0,4,1430,0,1983,0
1850,4597,0,0,3,1850,0,2003,0
960,28717,0,0,4,960,0,1984,0
2480,45302,0,0,4,1620,860,1976,1992
3750,11025,0,0,3,3750,0,1976,0
2600,11951,0,0,3,2600,0,1988,2000
1390,8700,0,3,4,840,550,1912,1989
2260,7753,0,0,3,2260,0,1989,0
2470,7447,0,0,3,2470,0,1984,0
810,7980,0,0,1,810,0,1928,0
1650,6000,0,0,5,1000,650,1959,0
3000,11665,1,4,3,3000,0,2001,0
720,18000,0,0,3,720,0,1950,2005
1390,48257,0,0,3,1390,0,1922,2013
1445,1606,0,0,3,1300,145,2003,0
1840,3300,0,0,4,1130,710,1910,0
2100,5824,0,2,3,2100,0,1999,0
1060,10464,0,0,4,1060,0,1973,0
1500,6337,0,0,5,1500,0,1953,0
1970,7213,0,0,3,1170,800,1977,2004
1410,1253,0,0,3,1410,0,2005,0
3720,9450,0,4,5,1960,1760,1962,0
2190,14439,0,0,4,1180,1010,1977,0
1920,8075,0,0,4,1510,410,1969,0
1160,8320,0,0,4,1160,0,1959,0
5860,52889,0,0,4,4910,950,1996,0
2000,4000,0,0,5,1450,550,1926,0
2163,5883,0,0,3,2163,0,2006,0
3480,57499,0,0,4,2340,1140,1976,1992
2840,6268,0,0,3,2840,0,1998,2006
1150,4400,0,0,4,1150,0,1905,0
3100,3773,0,0,3,2000,1100,1919,1996
1420,14850,0,0,4,1020,400,1963,0
