date,street,city,statezip,country
2014-05-02 00:00:00,18810 Densmore Ave N,Shoreline,WA 98133,USA
2014-05-02 00:00:00,709 W Blaine St,Seattle,WA 98119,USA
2014-05-02 00:00:00,26206-26214 143rd Ave SE,Kent,WA 98042,USA
2014-05-02 00:00:00,857 170th Pl NE,Bellevue,WA 98008,USA
2014-05-02 00:00:00,9105 170th Ave NE,Redmond,WA 98052,USA
2014-05-02 00:00:00,522 NE 88th St,Seattle,WA 98115,USA
2014-05-02 00:00:00,2616 174th Ave NE,Redmond,WA 98052,USA
2014-05-02 00:00:00,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
2014-05-02 00:00:00,46611-46625 SE 129th St,North Bend,WA 98045,USA
2014-05-02 00:00:00,6811 55th Ave NE,Seattle,WA 98115,USA
2014-05-02 00:00:00,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
2014-05-02 00:00:00,3838-4098 44th Ave NE,Seattle,WA 98105,USA
2014-05-02 00:00:00,1833 220th Pl NE,Sammamish,WA 98074,USA
2014-05-02 00:00:00,2504 SW Portland Ct,Seattle,WA 98106,USA
2014-05-02 00:00:00,3534 46th Ave NE,Seattle,WA 98105,USA
2014-05-02 00:00:00,14034 SE 201st St,Kent,WA 98042,USA
2014-05-02 00:00:00,15424 SE 9th St,Bellevue,WA 98007,USA
2014-05-02 00:00:00,11224 SE 306th Pl,Auburn,WA 98092,USA
2014-05-02 00:00:00,1605 S 245th Pl,Des Moines,WA 98198,USA
2014-05-02 00:00:00,12425 415th Ave SE,North Bend,WA 98045,USA
2014-05-02 00:00:00,3225 NE 92nd St,Seattle,WA 98115,USA
2014-05-02 00:00:00,3922 154th Ave SE,Bellevue,WA 98006,USA
2014-05-02 00:00:00,3140 Franklin Ave E,Seattle,WA 98102,USA
2014-05-02 00:00:00,10212 NE 156th Pl,Bothell,WA 98011,USA
2014-05-02 00:00:00,2021 NE 100th St,Seattle,WA 98125,USA
2014-05-02 00:00:00,27736 23rd Avenue South,Federal Way,WA 98003,USA
2014-05-02 00:00:00,8436-8438 41st Ave SW,Seattle,WA 98136,USA
2014-05-02 00:00:00,1036 4th St,Kirkland,WA 98033,USA
2014-05-02 00:00:00,23525 SE 32nd Way,Issaquah,WA 98029,USA
2014-05-02 00:00:00,3314 NW 75th St,Seattle,WA 98117,USA
2014-05-02 00:00:00,14104 119th Ave NE,Kirkland,WA 98034,USA
2014-05-02 00:00:00,20120 137th Ave NE,Woodinville,WA 98072,USA
2014-05-02 00:00:00,7201-7399 55th Ave NE,Seattle,WA 98115,USA
2014-05-02 00:00:00,17052 4th Ave NE,Shoreline,WA 98155,USA
2014-05-02 00:00:00,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
2014-05-02 00:00:00,30822 36th Ct SW,Federal Way,WA 98023,USA
2014-05-02 00:00:00,4801-4899 6th Ave NW,Seattle,WA 98107,USA
